tweet,polarity
jaemin for #KulayRosasAngBukas  https://t.co/qvB8XuxQzk,
"1 hour of biyahe to go, but worth it para sa #LeniKiko2022! #SaGobyernongTapatAngatBuhayLahat #KulayRosasAngBukas 💖🌸  https://t.co/avu0yoqofp",
 https://t.co/BiMSxJZOlN #PiliPinasDebates2022 #LeniKikoAllTheWay  #LeniKiko2022  #LeniForPresident2022  #LenLen,
Megamall and Podium is Pink hahahahahahahahahah #PasigLaban #PasigIsPink,
@whatsupjared This is a sign na walang magugutom kapag naipanalo natin ang #LeniKiko2022 .,
"Ang galing nyo, CAMANAVA! 👊🏻 #CAMANAVAforLeniKiko #LetLeniLead",
Responsableng mga mamamayan for Leni 🌸 #Kakampink #PasigIsPink #PasigLaban #PasigLabanParaSaTRoPa  https://t.co/kTZCDtJeoU,
#Kakampink pla si Father 😍😍😍,
"Bukod sa beauty and brains, I really admire the patience and dedication ng mga anak ni VP. Di madali mag H2H pero kahit maraming mahirap kausap, patuloy pa rin sila sa ginagawa nila.   Ang swerte niyo po sa mga anak niyo madam @lenirobredo 💗  #IpanaloNa10To #LeniKiko2022",
Gurl said #KulayRosasAngBukas,
"Kung sa LBM rally ito, uuwi kang luhaan. Iba ang mga Kakampinks 💕💕💕#kakampink #LeniKiko2022 #LetLeniLead2022 #LetLeniKikoLead2022",
#PasigLaban #AndiNEnasinaLENIatKIKO #MasaganangANEhan #NuevaEcijaIsPink,
"Hi guys I've seen this post on FB someone drop their BP lightstick last night during the campaign rally,  you might know someone na nawalan last night u can mention or RT this ^^   here's the link of FB post :   https://t.co/lZ6U9PgWwW #PasigLaban  #PasigIsPink  #PasigForLeniKiko  https://t.co/M3yRAkMQ51",
Excited for Leni-Kiko Makati Grand Rally! See you there! Signed up na also 😅   #MakaTindig #PasigIsPink #LeniKiko #Kakampink @DoctorsForLeni #DoctorsForLeni,
#KulayRosasAngBukas  https://t.co/bKL1INq35e,
The power of kakampinks. #PasigLaban,
TRUEEEE #KulayRosasAngBukas,
"i asked my ofw parents about this, and this is how my mom reacted !! i think tama chz ily and imy mami &lt;33 #LetLeniLead 💗💞🌸  https://t.co/ll3Mqx3edY",
#NoToLeniKiko2022 #LeniLugaw #LeniLutang  https://t.co/MxVkJeucaM,
"Hi if you ever read this tweet and you're a youth for VP Leni and her team who is being discriminated, invalidated, and degraded because of our age, please listen to Taylor Swift's ONLY THE YOUNG. We will never back down. We got this. Ipanalo na na10 'to💗 #LetLeniLead #LeniKiko",
#ArianaGrande’s IG story #pasiglaban #lenirobredo  https://t.co/bjzpzqZYlf,
Ambag para sa #GobyernongTapat handog ng #LeniKiko2022 💗🇵🇭  Until supplies last ha.  Send you request 👇🏼   https://t.co/pUjH7D9Pfu  https://t.co/B43qU33WFx,
Sakit ng katawan ko pero sobrang worth it. One for the books! See you sa next rallies. 🌸💕 #PasigIsPink  https://t.co/mlYnpLfEr4,
SibuYAAAAS! 🧅💕🌸💕  #DapatSiLeni🌸 #HusayAtTibay💪 #PasigisPink #PasigLaban  https://t.co/lWA1kXN62X,
Flex ko lang na I indirectly converted a 🦆m supporter to switch to Leni dahil sa photo ng kasama ko nung rally 😂 whatever it takes! Mag photoshoot na kame  #absforLeni #ipanalonana10to #LeniKiko2022 #PasigLaban #10LeniRobredoPresident #7KikoPangilinanVicePresident  https://t.co/TwXErE5dsj,
Ariana Grande reposts video of crowd in VP Leni Robredo's #PasigLaban ra...  https://t.co/C5OYQGjPGu via @YouTube,
Kada view ko ng story sa fb puro md nila yung pagpunta nila #LeniRobredo dito sa Cabanatuan City 🌸🌷💗   #NuevaEcijaIsPink  #LetLeniLead2022,
😂😂😂  #LetLeniLead  #kakampink,
Ingat po! #16ColmenaresSaSenado #KayangKaya ni Neri! #LeniKiko,
Can I just say na my mom and I made this bouquet? Sobrang naiyak talaga ako nung winagayway ni VP @lenirobredo to kahapon.   Thank you din kay Cams na last minute nagsource ng fairy lights. Huhuhu ang magical ng feeling. 🌸💕🌸💕  #DapatSiLeni #PasigIsPink #PasigLaban  https://t.co/eMk9R2Ega9,
"ctto of the last pic that i used, thank you for that amazing shot! 🌸💕 #PasigLaban #PasigIsPink",
changing my layout to green &amp; pink for #LeniKiko 💗💚🌷  https://t.co/3yYen8Fd68,
I am a SWIFTIE and ONCE and I am for Leni🌸🎀 #SwiftiesForLeni  #Kakampink  #LeniKiko2022  https://t.co/zgd491lhlQ,
Liwanag sa Dilim #Kakampink #CAMANAVAisPink #LeniForPresident2022  https://t.co/ckHeuS3INJ,
@hanzield @BrArweeFSC Kamusta mga friends ko jan for #LeniKiko #PayanigSaPasig,
What an experience 😍🌸 #LabanPasig #AngatBuhayLahatKayLeni #Kakampink #PasigIsPink  https://t.co/dzClPDmEPY,
Good night mga bading.   #LetLeniLead 🎀💗🌸  https://t.co/ZTNr3UE5U9,
"Iana Bernardez with Janine Gutierrez, Elijah Canlas, Kokoy De Santos, and more at VP Leni's Grand Rally yesterday at Pasig.🌷🌸  #PasigIsPink #PasigLaban  https://t.co/5Ea8xh1GJh",
#CaviteForBBMSARA UNITEAM PILIPINAS #PasigLaban  #PasigIsPink  #CaviteIsPink #800KMinusOne  #NuevaEcijaIsPink,
#LeniKikoAllTheWay  #LeniKiko2022  #10LeniRobredoPresident  #7KikoPangilinanVicePresident  #GobyernongTapat  #AngatBuhayLahat,
Location check lng kung nasaan kahapon sa #PasigLaban   📸 credits Gio Ozaeta Tantoco para sa shot ng Emerald Avenue   #PasigIsPink #AngatBuhayLahat #KulayRosasAngBukas #LeniKiko2022   #10LeniRobredoPresident  #7KikoPangilinanVicePresident  https://t.co/tVPYmtKYFk,
"Di kami makarelate. Never kaming kinainisan ng Marcos brothers.  Never sila na-tempt mangbarda while growing up hearing painful comments about their family.  6 yrs pa lang nga, napapaisip na mang barda? This was in Pasig and #PasigIsPink, really?  Trolls, reply na below! Go!! 😂  https://t.co/WoxlBIr7UD",
Di yan naka sked na pumunta pero dumadating para sa mga taga suporta. Yung iba jan naka sked na at hinihintay ng  mga supporters nya pero kinacancel pa. #KulayRosasAngBukas,
@AndreAllan 130k people are there! #Kakampink,
#CamanavaRockandRosas D-DAY!!! 🌸   i can't join in person pero i am with you by heart! 💗 nasa laylayan ang tunay na laban! tumindig!  i'm from caloocan but i'm not part of the 70%!  #CAMANAVAisPink  #CAMANAVAforLeniKiko  #CAMANAVABeybeh  #NorthCaloocanForLeni #LetLeniLead2022  https://t.co/5LOZxg645P,
#KulayRosasAngBukas 🌸  https://t.co/0kVufm1K5N,
"@GemoraAudie That's the plan! Solid po tayo, Leni-Kiko, walang ibang tandem na mas magaling at mas karapat-dapat!  #LeniKiko2022 #LeniKikoAllTheWay",
seungcheol's hair: #LetLeniLead,
Marcos wouldn't even bother getting his name. #LetLeniLead2022,
May bagong Marites ang mga kakampwets gusto yata sumikat 🤡 #Lenlen #LenLenLoser  https://t.co/7cgQBi1ru3,
"Ako na nabigla rin 😂😂😂  #LenLenLoser 😂  Dapat nanahimik nalang muna kayo, the fact wala yung Alamano n'yong datdaratdat sa debate.  Aminin n'yo man o hindi, takot lang talaga si 🥴 kay #LeniRobredo.. biruin mo pinataob ni Leni si 🥴 noong 2016 debate.",
Tingin nyo ba kung lahat kme bayaran edi ang yaman pala ni Mam Leni at pano nag abutan ng pera? Nag body surf sa crowd? Ano pipila? Asan ang pila? Bahahahahaha  #PasigLaban #PasigIsPink,
Hello to all  #kakampinks !  Gusto ko sana mag karoon ng campaign drive #qatarforLeni.   Please make this tweet visible para sa mga silent Kakapinks dito sa Qatar. Let's go out to the street and show our support! #LeniKiko #IpanaloNa10To #kakamPink  🎀🌸💗💖🌸🎀,
#LeniKiko2022 for me and my family!,
"#LetLeniLead SHE IS DECISIVE, SMART, AND QUICK! HER CONCERN FOR THE COUNTRY IS OBVIOUS. #LeniKiko2022",
"Di nila kase kaya yung mga tanong, high standards daw kase. Wala ba daw script?! 😂 #Leni #DeepProbe  https://t.co/ioRnBNszNG",
@vrncrstbl The kid wants a better and brighter future.   #CAMANAVAisPink  #LetLeniLead,
Omg! Pareho tayo ng president at pareho din nating mahal ang KyCine huhuhu.  P.S. Not a shipper anymore  #PasigIsPink #LetLeniLead2022 #PasigLaban,
"Since #PasigLaban is still trending up until now, magpost na din ako ng glimpse of what I experienced last Sunday.   #IpanaloNa10To #LeniKiko2022 #PasigIsPink  #KulayRosasAngBukas  https://t.co/g38JLHYoS7",
Love this 💗💗💗. #PasigLaban #PasigIsPink #BreakFree #ArianaGrande #PasigForLeniKiko,
Sibuyas wave  #PasigIsPink  #PasigLaban,
Please get your Kakampink votes counted! #LetLeniLead  https://t.co/iujlwGiPzE,
"Dismayado ang mga supporter ni Vice President Leni Robredo sa mga tauhan ng isang branch ng Frankie's New York Buffalo Wings sa BGC, Taguig.  https://t.co/Yuj2dlmP0Q #TunayNaTabloidista  #AbanteNews  #Frankie's #Kakampink  https://t.co/7THd0Z2ZTs",
Ang tunay na LIWANAG sa dilim. 💗 📸team Leni/Kiko #ctto #LeniKiko2022  #LeniWanagSaDilim  #LeniKiko  #LeniRobredo  #LeniRobredo2022  #LeniRobredoForPresident  #LeniKikoTeam2022  https://t.co/ZGVOFmwSuD,
@akosirenzoy Wow good nice all women lip pink kind women days we support.  God bless you!  #DapatSiLeni #LetLeniLead2022  https://t.co/mqs3BW8b1v,
#KulayRosasAngBukas  https://t.co/oDe5FOqLtn,
Good Morning Pilipinas! Sarap ng gising ko seeing post on socmed how #Kakampink show pure love and bayanihan sa #PasigLaban yesterday. You can't force and demand that to people. Nkakaproud. Kamusta kaya gising ng mga u know who. Haha. #PasigIsPink #LetLeniLead2022 ctto sa photos  https://t.co/2MYHVKqRZo,
"@gapolicarpio Is that former Sen. Mar? Wow, finally! Nakita ko na rin sya sa stage supporting VPLeni! #LeniKiko2022 #LetLeniLead2022",
#38KuyaAlexLacson #AngatBuhayLahat #LeniKiko2022,
❌ RoSa ✔️ LeKi #KikoAngManokKo #LeniKiko2022,
"After months of arguing and convincing, my long time bbm friend finally gave in and is now a #kakampink   Their boat is sinking.  https://t.co/xaq0xxDtY1",
"Natawa ako dun sa ""Eto po yung main rally"" then boom!!! 😂💗  #PasigLaban #KulayRosasAngBukas  https://t.co/htXh0s2QJR",
"Hey Mandaluyong, kamusta? I went around earlier by the area to see a lot of houses (near acqua, Pantaleon bridge, market area) with B/Bm posters - is there any group attending to this? Can we try to change this? #LeniKiko2022",
#BusinessProposal #PasigLaban #MattRyan Are you looking for a professional to develop a mobile application for your business to take your business to the next level. if you contact the them through the link and get much about them.   https://t.co/j7viiEfyR4,
03/13/2022 #QuezonYouthFest #LeniKiko2022  #KulayRosasAngBukas  https://t.co/ollYj1QLCz,
@MashaMasha2022 @bhelle008 un din napansin ko sa mga rally ng #Kakampink,
@inquirerdotnet @NCorralesINQ Of course. National Unithieves party #LetLeniLead2022,
LENI ROBREDO TULOY-TULOY LANG ANG SUPORTA IPANALO NA NATIN TO #Kakampink #LetLeniLead #KulayPosasAngBukas  https://t.co/odHsuaQvJ3,
"sa gobyernong tapat, dadating ang album, photocards na inorder sa twitter ng lahat.💗💗💗  #kakamPink #LeniRobredo2022",
Grabe yung mga kakampink sa rally sa #PasigLaban kahapon! Tama behavior talaga ang lahat haha parang matagal na kami magbabarkada para mag bardagulan.,
Mga walang tulog for #AndiNEnasinaLENIatKIKO #LeniKiko2022 #Cabanatuanispink,
"Vice President ba talaga natin siya? Grabe, kung di sya ang susunod na Presidente, ano na lang tayo sa susunod na anim na taon?   #KayLeniTayo  #LeniKiko2022",
Ay never daw as in never🫣🤫 #BBUltimate  #Leni  #bbm2022  https://t.co/lw4dnVjVhv,
At meron po tayong nakumbinsi 😍💗 #LeniRobredoForPresident #LeniRobredo2022 #Kakampink  https://t.co/c9Wj76oALB,
Anong ibalik si Marcos?? Gagsti kayo may pang twitter/tiktok kayo pero wala kayong pang-search. #NoToMarcoses #NeverAgain #LetLeniLead2022,
Imagine mga Baby M supporters si Leni agad ang hinahanap sa Taal. Bakit hindi niyo hanapin si Baby M? Sanay na ba kayong wala? Sa bagay tuwing eleksyon lang naman nagpaparamdam 😜🤪   #LetLeniLead  #LeniRobredoForPresident   KULAY ROSAS ANG BUKAS 🫰🏻💕,
@LimarioDork @theklmanuel yung s backstage area legit n pangrally dn ung crowd! ahahha anuba #PasigLaban epic tlga mga pangyayari nung araw n un! so happy i was part of it! 😂😁,
@pokwang27 They really WORK HARD to bring out the worst in us and make us give up. Laban lang po #Kakampink. Diretso lang ang tingin papunta sa #GobyernongTapatAngatBuhayLahat   Sending encouragement and prayers to you and declaring God's grace and blessi,
"Go TARLAC!! 💕🇵🇭  (Tarlac Philippines, not Tarlac Indonesia 😍) #TarlacisPink #LeniKiko2022 #KatotohananAngMagdadala #GobyernongTapatAngatBuhayLahat #RosasAngKulayNgBukas #LabanLeni #LabanLeniKiko2022  https://t.co/roW3H6KUJG",
#PasigIsPink #LeniKiko2022  https://t.co/XY7NfL7cUk,
🎀🌷                     🕯      🕯           🕯          sa           🕯             Gobyernong tapat               🕯     makakapasa      🕯                  ang lahat!!!!            🕯                       🕯                     🕯     🕯  #LeniKiko2022 #LetLeniKikoLead2022,
#calbayogispink #RosasAngKulayNgBukas #samarispink #LetLeniLead2022  https://t.co/Iy16tsKhUg,
I love this one! 🌸🌸🌸#LetLeniLead #LeniRobredo2022 #LeniKiko2022,
@biifluke Yung pink cartolina from #PasigIsPink to Pink hanger sa #DavaoIsPink  GAGI!!! 😂😂😂,
"@mikopagaduan @TeddyBaguilatJr UP!!! Hindi lang sa Nueva Ecija, sa mga susunod na rallies din! Sa LAHAT ng rallies hanggang sa Miting de Avance!! #WeWantNeri #LabCoSaSenado #95Kabataan   Ito ang tindig namin!!! @bamaquino #LeniKiko2022 #AngatBuhayLahat #K",
sarap maging parte ng #PasigIsPink #PasigLaban . will definitely do it all again. see you on other campaign rallies!,
We know she posted this coz kanta nya yung kinakanta at sinasayaw ng mga tao. Pero ganon ka tindi yung mga kakampink sa #PasigLaban!  #Ipanalona10to #LeniKiko2022 #LetLeniLead2022 #KulayRosasAngBukas  https://t.co/6ygJsMsFtJ,
#LeniAngatSaLahat #10RobredoForPresident #IbobotoKoSiLeni #AngatBuhayLahat #KulayRosasAngBukas,
#LeniRobredoForPresident  #LeniKikoAllTheWay  #PasigIsPink #TarlacIsPink,
"Sino nga ba ang bagong #Kakampink who openly declared her support for Madam @lenirobredo?  Si Diamond Star lang naman, @officialmaryaph. 💗🌸  Tara, Inay! Ipanalo na natin to. 💪  #KayLeniTayo  #AngatBuhayLahat  https://t.co/fXmNjL9uyp",
We are a certified #Kakampink and #Kakampinkbahay   #LeniRobredo2022 #LeniKiko2022  https://t.co/sS8vFkB7br,
“But why all this effort for the lady in pink? Because this isn’t just Robredo’s fight for the presidency -also theirs.”   #NuevaEcijaIsPink #CaviteIsPink #PasigLaban  https://t.co/9dvxom3YGz,
Jowain niyo na ako mga kakampinks! 🌷   #LeniKiko2022 #Kakampink #LeniWanagSaDilim #KulayRosasAngKulayNgBukas  #PasigIsPink,
"Siguro if may friendster parin, lahat tayo color pink ang theme sa friendster tapos may background music ni Leni 😂 #LetLeniLead  https://t.co/5dQz1w6eST",
Gobyernong tapat. Go Vico! Will Vico endorse Leni-Kiko? #PasigLaban,
"In one of the Tarpaulins @ Pasiglaban. Go, go, go kakampinks!  #LeniKiko  https://t.co/yTWYyuLgGA",
"One day, our stories will be told!  This journey is not for our next president but for the future of our children and our country, the Philippines!  #KulayRosasAngBukas  #DapatSiLeni  #KayLeniNaTayo  #KayLeniTayo",
"HINDI KA MAUUHAW FOR TODAY’s VIDEOWwW mga vebs, ganyan ganyan.. kKkrRrrRrRkKk! 💦 Parang bobo ka may libreng tubig dineh! #NUEVAECIJAISPINK  #WalangMadedehydrate #LeniKiko2022    See you all!!!  https://t.co/SBugYCn9rA",
97z kakampink!!!! #LetLeniLead  https://t.co/sozjVOqRMy,
Maka heart sa mata uyyyy 🥰😍🥰😍 @lenirobredo see yaaaa Press! 🌸💓💘💞🎀 #KulayRosasAngBukas #letlenilead2022  https://t.co/weMBnSRdmQ,
Yung di na kayo nakarating ng entrance ng Emerald Avenue kaya tambay nalang sa Julia Vargas 😀  #PasigLaban #LeniKiko  https://t.co/MNxAwEDg7D,
"Tapos nagtawanan lang kami. Then my dad joined the conversation and said ""Dati si Bongbong gusto ko, kaso graduate nga pala ako""   Omg! My parents have this  ✨TAMA BEHAVIOR ✨   Thank you, Mom and Dad sa pagtindig 💗🌷 #IpanaloNa10To #LeniKiko2022 #KulayRosasAngBukas 🌷💗",
@ISDA_Tambasakan Its called #KulayRosasAngBukas because pink in tagalog is rosas. It doesnt really mean roses. #NoToBoboMarcos,
Lavette 🌸💗  Link:  https://t.co/d8uD0b3P0o  #Kakampink #KulayRosasAngBukas  https://t.co/UTQArtiiUj,
the best shot na nakuha ko that night. Madame @lenirobredo kasama mga taong nakikiisa at sumusupporta para sakaniya. 💕 #PasigLaban #PasigIsPink  https://t.co/YD1wpiIdc0,
Leni4President ang password ng wifi sa Anahaw Island View Resort dito sa Calapan City. 🌸 🤗   #LetLeniLead #LetLeniKikoLead2022  https://t.co/EPoc1rQoY0,
@jaytwotheworld @kikopangilinan Solid #LeniKiko2022 lang tayo!,
"📢TO ALL #KAKAMPINKS IN MAKATI:📢  If you want to coordinate your group with Robredo People's Council Makati, feel free to send us a direct message including your name, the name of your group, contact details, and barangay. ✉️💗  #RPCMakati #AngatBuhayLahat #LeniKiko2022  https://t.co/l27XcbFBdL",
Your turn to make a statement.  #DiKamiBayad #KulayRosasAngBukas #Robredo2022 #LeniIsMyPresident  https://t.co/PieWk5wQSn,
"earlier while on commute, kuya driver was on his radio with another driver about #PasigIsPink Other driver:first time ko makakita ng ganun ka dami tao..anu ba ibig sabihin ng radikal na pag mamahal, salitang bicol ba un? kuya: (smilling) konti na lang pre, ma convert na kita 💗💗",
@iamtakipsilim1 #kakampink in Dubai. Hope you are all doing good there.. marami daw unithieves supporters dyan..hope you can educate them.. #IpanloNa10To #LeniKiko2022,
Kwento ni Cielo kung #BakitSiLeni  https://t.co/pv3fyRnANT via @YouTube,
key takeaway from yesterday's #kakampink rally: pogi pala talaga si donny,
"So ayun mga mare yung kaklase ko sa TIP na client ko kagabi, napipilit ko na magleni . Tapos ayun nakipag bardagulan na sya sa FB dahil sa isang bobong BBM Supporters HAHAHA  #DapatSiLeni",
#NuevaEcijaIsPink  #LeniKiko2022,
pang load lang ng mga kakampink yang pinipilit nyong 5h/1k na bayad. try harder!!!  #Kakampink #KulayRosasAngBukas,
Nakaka proud grabe!!!!   👇👇👇  https://t.co/j7eHuYo1qf  https://t.co/j7eHuYo1qf  https://t.co/j7eHuYo1qf  #PasigLaban #PasigisPink #PasigForLeniKiko #LeniKiko  https://t.co/tZeLDxV4Pg,
PINAKA DULO KOPA AKO PA HINDI NAKAPAG SUN SCREEN SA KAKAMADALI HAHA  #PasigLaban #PasigIsPink,
Please help my friend! Thank you.💗💚 #PasigLabanParaSaTRoPa  #PasigForLeniKiko  #PasigIsPink,
#CAMANAVAisPink Number 1 trending as of now!!! Grabeh! Ipadama niyo po samin ang energy ninyo jan! 💗 #KulayRosasAngBukas,
Oi mangumbinsi daw kayo mga #Kakampink pero dapat with intense facial grimace 😬  Ganyan ba ang nakikiusap 😱 Di pa din ako kumbinsido 😅 But seriously guys Wag magpapa #Budol sa mga nagmamaLenis  #NoToLeniKiko2022 #NeverAgaintoDilawans  https://t.co/oc0zzkhMJb,
sana may kumanta ng acoustic version ng kay leni tayo... sarap pakinggan nung kinanta ng mabagal sa #PasigLaban,
"#PasigLaban  umalis b ang lahat na malinis ang area .. Please maintain nyo naman ang clean as you go ... May mga video ako nakita na ang daming basura na naiwan,",
"@academic_xcom Ina para sa bayan, Mama Leni 💗#LetLeniLead 💗",
Bet ko 'yung pink t-shirt na suot ni @pochbarretto_ sa #PASIGLaban Grand Rally. 🌷 I want to have one. 🌹,
"PS: nakaspeaker po ako, ayan makinig ka sa magbibigay ng kulay rosas na bukas🌸🎀 #LeniKiko2022",
Pink skies ☁️💖  #LetLeniLead2022 #LeniForPresident2022  https://t.co/K9YSNQX7im,
"Is 137,000  #PasigLaban theoretically possible? Yes! Max cap. at 5 pax/sqm 1) Emerald = 79,290 2) Ruby = 35,629 3) Sapphire = 33,520 4) Garnet = 23,084 5) Onyx = 14,986 Total = 186,509 Not considered: 1) Ebb and flow in and out of venue 2) Spillover to JV, Topaz and malls  https://t.co/FKRhETCtcl",
#LetLeniLead 💕💗💞🌸💝💘💗  https://t.co/u5sbAXeGSR,
Thank you to those Volunteer of Cabanatuan or Nueva ecija or anyone in Metro manila for supporting Leni and also for doing there best to make murals and Artworks For Leni and thank you also to those volunteers who help other Kakampink's with the Rally of Leni #LeniRobredo #rosas,
"Leni-Kiko Tandem gains another Vote of Confidence from the Officers of the Council of Laity of the Diocese of Tarlac for VP Leni for President this coming May 9, 2022 National and Local Elections. Go, go, go Leni-Kiko Tandem!  #LeniKiko  https://t.co/LR5hw8WMWE",
"Marami ring nagdonate ng egg, water, campaign mat's, etc. We even have local performers na nagvolunteer. So excited for later! Sana marami kaming makumbinsi sa paglakad.  @lenirobredo @kikopangilinan #LeniKiko2022 #KulayRosasAngBukas  #GobyernongTapatAngatBuhayLahat",
#LetLeniLead daw po 💗💗💗🌺🌷🌸🌺🪷  https://t.co/28ujADNQel,
At julia vargas corner emerald ave. Hangover parin sa saya ng #PasigLaban #PasigIsPink  https://t.co/udSALPOxZh,
#KayLeniNaTayo #10LeniRobredoPresident #DapatSiLeni #HusayAtTibay,
Hahaha baka di naabutan ung claim stub at sobre or nabwiset wala kc sinabing palataporma si LBM🤣🤣🤣🤮 #BBMLoser  #CaviteForBBMSARA  #NuevaEcijaIsPink  #PasigLaban,
@Beng_Climaco but why mayor? 🥲👎 #LeniKiko2022 #SiKikoAngManokKo  https://t.co/t7hb2FjOaI,
"Galawang #Cavite800kplus1 ba ang poor signal sa Davao ngayon?? Takot na takot na ba kayo sa #LeniKiko tandem? 16% lang kami, uy!   #DirtyTacticsStrikeAgain #DavaoIsPink 🎀🌸",
I stan harder after I saw Ariana Grande’s ig story. #LetLeniLead2022 💕😍💕😍,
Sana po pink bilao na lang @officialmaryaph💗😭 #MaryaForLeni #quiapoispink #kakampink #BatangQuiapoForLeni   https://t.co/OMWyEqfnA6,
Wala pa rin. 🙏🙏🙏 Balik ka na 😔 #lostwallet #PasigLaban #PasigIsPink,
Hindi nagsisinungaling ang ebidensiya; ikaw lang. You benefitted so much from fake news and spliced videos.  #NoToMarcosDuterte2022 #LeniKiko2022  https://t.co/bB4xE75MBA,
🚨 New Tiktok! 🚨 The last man standing is a farmer 👨‍🌾  #GobyernongTapatAngatBuhayLahat  #KikoAngManokKo  #LeniKiko2022    https://t.co/gfnUfnAaGP,
@lenirobredo sorties. Hindi takot sa drone shots. #LeniMatapang  #GobyernongTapat  #ZamboangaForLeniKiko,
The POWERFUL speech I've ever seen 👏  Good morning beautiful world!!! Rosas ang kulay ng bukas💖 #LetLeniLead2022  #PieDu @Yescppicache  https://t.co/7XgMsKFJIf,
"Grabe, sobrang sarap sa pakiramdam kqsama mga #Kakampink 🌷🌷🌷🌷",
Hi moots especially kakampinks pa-rt naman nitong tweet para mas marami tayong mareach na potential sponsors thank you 🌷💖  #KulayRosasAngBukas,
NAPATINGIN KO ANG MAMA @lenirobredo 🎀🌸 DI BA ANG INGAY KO HAHAHAHAHAHAHAHA #PasigLaban #Kakampink #LeniKiko2022  https://t.co/wcvkxkLUC8,
"@DarnaImpakta Laban lang, ate ! Onting tumbling na lang at maliit na kembot, maipapanalo na natin ‘to! #KulayRosasAngBukas #LeniKikoAllTheWay",
"Nung cinompare si sandro at donny may nailabas kayong resibo and accomplishments. Eh yung tatay? Bakit ""basta bbm kami"" lang ang sagot niyo? kabobohan niyo parang presidente niyo  #MarcosMagnanakaw  #MarcosNumber1Sinungaling  #LeniKikoAllTheWay  #Kakampink",
naguguluhan na ako sa tl ko pota di na talaga ako matutulog mga puyat for #LeniKiko,
dino seventeen caratland 2022 #LetLeniLead leni robredo kay leni tayo jingle  https://t.co/oLH29BcokJ,
@Jimparedes #LeniKiko💕💕💕,
Ako'y Mabuting Filipino. By Noel Cabangon  #IpanaloNa10To #KulayRosasAngBukas #LeniKiko2022 #GobyernongTapatAngatBuhayLahat   https://t.co/e2T8Q6eU8V,
Going for a house-to-house campaign with other volunteers today  #LetLeniLead #LeniKiko2022  #LeniKikoAllTheWay  https://t.co/bRCgqWJIoV,
"Person of the Year,… and of Last Year, too — #LeniRobredo",
"Still hungover sa #PasigLaban yesterday 😉   Sa overexcitement, I thought I was recording a lot of videos, and boom hindi ko pala napindot ang record button 😂 #LeniRobredo2022 #LeniRobredo  https://t.co/Tpz6aeI20I",
@percinotpercy @lenirobredo We saw this during #PasigLaban!  🇵🇭🌷,
Crowdsourcing!!!!! Saan ko ba matatagpuan ang seller nitong shirt na to? Huhuhu  Ctto po ilang araw ko na hinahanap wala talaga  #KulayRosasAngBukas  #AngatBuhayLahat  https://t.co/Fk416VV1zU,
Filo moots y’all know what to do on May 9th! Holy sht thats powerful!! 💖 #LetLeniLead2022,
#KulayRosasAngBukas,
"Akala ko naman kung anong bonggang sinagot niya sa tanong about machiavellianism, langya kung di pa quinalify ni Prof. Carlos, sabaw na sabaw pa din naman.   #CAMANAVARocknRosas #SMNITheDeepProbe #LetLeniLead #BayadBuwisMuna #CAMANAVAisPink",
"sabi nga ng isang lawyer (iam sorry atty i forgot your name 🖖🖖🖖), ang patola ay gulay, minsan ako! 😘😘😘  TARA NA, #IpanaloNa10To #10RobredoPresident #7KikoPangilinanVicePresident #LeniKiko2022 ALL THE WAY!!!",
Omg. 😭😭😭😭   💗💗💗 #LetLeniLead2022  #LeniKiko2022,
Finally! The Pink Wave is here! 🌸   #LeniKiko2022  #SamarIsPink #AngatBuhayLahat  #CalbayogIsPink,
Malapit na mag bukas Old Capitol.  #AndiNEnasinaLENIatKIKO #MasaganangANEhan #NuevaEcijaIsPink  #PasigLaban,
salamat po sa video haha #LabanLeni  https://t.co/hSkwIn8OZH,
This is a very good thread for thos who will go house to house.  #LeniKikoAllTheWay  #LeniKiko2022,
isang masayang araw para kay Leni 🌸  #LetLeniLead2022  #LeniKiko2022  #PasigIsPink  https://t.co/mgNs7W9ZLS,
"While I was busy handing out free coffees to the #PasigIsPink rally attendees last Sunday, someone handed me this pink pin in exchange and said “ate, para sa'yo oh”  To that person, kung andito ka man sa twitter, thank you!!!!🎀🌸💗✊🏻 #LetLeniLead #KulayRosasAngBukas  https://t.co/h45Bk22Eq4",
"nkakatindig balahibo, kakaiyak! salamat mga #Kakampink",
"FYI lang. If you are going to campaign online, these are FB pages dominated by apologists and misinformed:  https://t.co/zr1DaU6r24 , News5, and GMANews. If you really want to reach them, focus on these pages. Goodluck sa atin mga Kakampinks.  #LetLeniLead #LeniKiko2022  https://t.co/215qucQ8zE",
"#LetLeniLead,,,,my hart 2 u &lt;33 EME patuloy na maninindigan para sa bayan !! 🌸💗🌷",
pink na pink jeno &lt;33 newayz #LetLeniLead2022  https://t.co/RCEkz5xOLc,
"I AM PROUD TO BE ONE OF THEM! 137,000 STRONG PASIGUEÑOS! #PasigIsPink  #PasigLabanParaSaTRoPa  #PasigForLeniKiko  #PasigRally  #PASIGLaban  https://t.co/3hXU23kDxy",
@MagsZMaglana Naalala ko po tuloy si Cong @TeddyBaguilatJr  noong #PasigLaban nag volunteer din syang hawakan nilang dalawa ni Atty. Dino si #StandeeLima  habang nakaupo sila sa stage 🖐️✊🏻🌸,
Lets fight for it.. #LetLeniKikoLead2022  #LetLeniLead2022,
